candidate_id,nama,klaster,nearest_node,dist_to_node_m,lon,lat,nearest_node_sumber,dist_to_node_m_sumber
199,Rumah Sakit Pendidikan Universitas Padjadjaran,E_RumahSakit,9756943384,73.67464395482222,107.5989520807479,-6.895583600986451,9756943384,73.67464395482222
200,Kecamatan Sukajadi,C_Kantor,29377838,74.0972471223486,107.5884977638187,-6.892584213098812,29377838,74.0972471223486
201,RS Hermina Pasteur,E_RumahSakit,29378982,74.53514266823926,107.58877053059489,-6.895940285107865,29378982,74.5351426685719
202,PT Kimia Farma,C_Kantor,13751874785,74.71162796353896,107.6040849,-6.908203520999992,13751874785,74.71162796350112
203,Badan Kepegawaian dan Pengembangan Sumber Daya Manusia Kota Bandung,C_Kantor,2439053859,75.07931164929366,107.6096047,-6.911481500000002,2439053859,75.07931164929366
204,Pertamina,A_SPBU,10866516960,76.20720900260432,107.5859941,-6.893604599999998,10866516960,76.20720900260432
205,PT Permodalan Nasional Madani,C_Kantor,7622389158,76.21041846194835,107.6468115,-6.906419218999993,7622389158,76.21041846194835
206,Rumah Sakit Kebon Jati,E_RumahSakit,13516108768,77.42862784268294,107.59635866326308,-6.915905495588692,13516108768,77.42862784268294
207,RS Jiwa Hurip Waluya,E_RumahSakit,6438591633,77.46838318361802,107.59484527271051,-6.884132099908916,6438591633,77.46838318361802
208,Rumah Sakit Advent,E_RumahSakit,2316803846,78.19703304103795,107.60356780348611,-6.892241227942428,2316803846,78.19703303974978
209,RS Santo Yusup,E_RumahSakit,5369662931,79.00484751109288,107.6428635696955,-6.906679910159652,5369662931,79.00484751110247
210,Inspektorat Provinsi Jawa Barat,C_Kantor,1660260878,79.1141893384959,107.61707991293405,-6.899799735166228,1660260878,79.1141893384959
