addr_kelurahan,nearest_node,dist_to_node_m,element,id,nama_kelurahan_osm,nama_kelurahan,nama_kecamatan,jumlah_penduduk,lon,lat
<NA>,5465992976,86.1839867972609,,,,Sekeloa,Coblong,27466,107.61689428782292,-6.886792457490502
<NA>,5149616893,89.7439102431444,,,,Sekeloa,Coblong,27466,107.61701526339797,-6.886709920429195
<NA>,5149616901,88.79061512069988,,,,Sekeloa,Coblong,27466,107.61692074660677,-6.886711852949744
<NA>,3443083602,72.38756704914216,,,,Sekeloa,Coblong,27466,107.61709817050988,-6.886899236250013
<NA>,5465992976,75.80994416593184,,,,Sekeloa,Coblong,27466,107.61701403405088,-6.886905532334747
<NA>,5465992976,49.23233338697888,,,,Sekeloa,Coblong,27466,107.6169039153805,-6.8871286335018675
<NA>,5465992976,57.23575007023986,,,,Sekeloa,Coblong,27466,107.61680366280184,-6.887054347150897
<NA>,5465992976,65.84097979005614,,,,Sekeloa,Coblong,27466,107.61671719040356,-6.886988999734879
<NA>,5465992976,68.43679472831954,,,,Sekeloa,Coblong,27466,107.61665340971706,-6.886982204772413
<NA>,5465992977,71.23469472600567,,,,Sekeloa,Coblong,27466,107.616594985002,-6.886946653363446
<NA>,5465992976,79.42090140430865,,,,Sekeloa,Coblong,27466,107.61679774999963,-6.886853749999397
<NA>,5149616901,82.94871676230814,,,,Sekeloa,Coblong,27466,107.61681485651367,-6.8867429323568725
<NA>,5149616901,78.01155925566736,,,,Sekeloa,Coblong,27466,107.61670038908731,-6.886773424331656
